Category,City,Country,Customer ID,Customer Name,Discount (bin),Order Date,Order ID,Postal Code,Product ID,Product Name,Region,Row ID,Sales Period,Segment,Ship Date,Ship Mode,State,Sub-Category,Year-Month,Discount,Profit,Quantity,Sales,Year
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,0.00,12-10-2011,CA-2011-139451,94122,OFF-AR-10002053,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,82,1,Consumer,16-10-2011,Standard Class,California,Art,01-10-2011,0,4.172,5,14.9,2011
Office Supplies,San Francisco,United States,DN-13690,Duane Noonan,0.00,12-10-2011,CA-2011-139451,94122,OFF-ST-10002370,"Sortfiler Multipurpose Personal File Organizer, Black",West,83,1,Consumer,16-10-2011,Standard Class,California,Storage,01-10-2011,0,6.2031,1,21.39,2011
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0.00,18-09-2013,CA-2013-109806,90036,OFF-AR-10004930,Turquoise Lead Holder with Pocket Clip,West,90,1,Corporate,23-09-2013,Standard Class,California,Art,01-09-2013,0,6.633,3,20.1,2013
Technology,Los Angeles,United States,JS-15685,Jim Sink,0.20,18-09-2013,CA-2013-109806,90036,TEC-PH-10004093,Panasonic Kx-TS550,West,91,1,Corporate,23-09-2013,Standard Class,California,Phones,01-09-2013,0.2,8.2782,2,73.584,2013
Office Supplies,Los Angeles,United States,JS-15685,Jim Sink,0.00,18-09-2013,CA-2013-109806,90036,OFF-PA-10000304,Xerox 1995,West,92,1,Corporate,23-09-2013,Standard Class,California,Paper,01-09-2013,0,3.1104,1,6.48,2013
Office Supplies,Portland,United States,RB-19705,Roger Barcio,0.65,07-11-2014,US-2014-109484,97206,OFF-BI-10004738,Flexible Leather- Look Classic Collection Ring Binder,West,96,1,Home Office,13-11-2014,Standard Class,Oregon,Binders,01-11-2014,0.7,-3.788,1,5.682,2014
Office Supplies,San Francisco,United States,KD-16345,Katherine Ducich,0.20,18-06-2014,CA-2014-157833,94122,OFF-BI-10001721,Trimflex Flexible Post Binders,West,98,1,Consumer,21-06-2014,First Class,California,Binders,01-06-2014,0.2,17.9592,3,51.312,2014
Technology,Aurora,United States,LC-16870,Lena Cacioppo,0.20,13-11-2012,US-2012-156867,80013,TEC-AC-10001552,Logitech K350 2.4Ghz Wireless Keyboard,West,104,1,Consumer,17-11-2012,Standard Class,Colorado,Accessories,01-11-2012,0.2,-26.8758,6,238.896,2012
Furniture,Aurora,United States,LC-16870,Lena Cacioppo,0.20,13-11-2012,US-2012-156867,80013,FUR-FU-10004006,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",West,105,1,Consumer,17-11-2012,Standard Class,Colorado,Furnishings,01-11-2012,0.2,-3.8385,3,102.36,2012
Office Supplies,Aurora,United States,LC-16870,Lena Cacioppo,0.65,13-11-2012,US-2012-156867,80013,OFF-BI-10002794,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",West,106,1,Consumer,17-11-2012,Standard Class,Colorado,Binders,01-11-2012,0.7,-25.8174,3,36.882,2012
Furniture,Seattle,United States,DK-13090,Dave Kipp,0.00,02-03-2012,CA-2012-110457,98103,FUR-TA-10001768,Hon Racetrack Conference Tables,West,118,1,Consumer,06-03-2012,Standard Class,Washington,Tables,01-03-2012,0,165.3813,3,787.53,2012
Office Supplies,Phoenix,United States,TS-21610,Troy Staebel,0.65,06-11-2014,US-2014-107272,85023,OFF-BI-10003274,"Avery Durable Slant Ring Binders, No Labels",West,127,1,Consumer,13-11-2014,Standard Class,Arizona,Binders,01-11-2014,0.7,-1.8308,2,2.388,2014
Office Supplies,Phoenix,United States,TS-21610,Troy Staebel,0.20,06-11-2014,US-2014-107272,85023,OFF-ST-10002974,"Trav-L-File Heavy-Duty Shuttle II, Black",West,128,1,Consumer,13-11-2014,Standard Class,Arizona,Storage,01-11-2014,0.2,30.499,7,243.992,2014
Furniture,Los Angeles,United States,LS-16975,Lindsay Shagiari,0.20,07-11-2013,US-2013-125969,90004,FUR-CH-10001146,"Global Task Chair, Black",West,129,1,Home Office,11-11-2013,Second Class,California,Chairs,01-11-2013,0.2,-9.1602,2,81.424,2013
Furniture,Los Angeles,United States,LS-16975,Lindsay Shagiari,0.00,07-11-2013,US-2013-125969,90004,FUR-FU-10003773,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,West,130,1,Home Office,11-11-2013,Second Class,California,Furnishings,01-11-2013,0,26.2416,3,238.56,2013
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.00,14-10-2013,CA-2013-145583,95661,OFF-PA-10001804,Xerox 195,West,134,1,Consumer,20-10-2013,Standard Class,California,Paper,01-10-2013,0,9.6192,3,20.04,2013
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.00,14-10-2013,CA-2013-145583,95661,OFF-PA-10001736,Xerox 1880,West,135,1,Consumer,20-10-2013,Standard Class,California,Paper,01-10-2013,0,16.6568,1,35.44,2013
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.00,14-10-2013,CA-2013-145583,95661,OFF-AR-10001149,"Sanford Colorific Colored Pencils, 12/Box",West,136,1,Consumer,20-10-2013,Standard Class,California,Art,01-10-2013,0,3.456,4,11.52,2013
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.00,14-10-2013,CA-2013-145583,95661,OFF-FA-10002988,Ideal Clamps,West,137,1,Consumer,20-10-2013,Standard Class,California,Fasteners,01-10-2013,0,1.9698,2,4.02,2013
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.20,14-10-2013,CA-2013-145583,95661,OFF-BI-10004781,GBC Wire Binding Strips,West,138,1,Consumer,20-10-2013,Standard Class,California,Binders,01-10-2013,0.2,26.6616,3,76.176,2013
Office Supplies,Roseville,United States,LC-16885,Lena Creighton,0.00,14-10-2013,CA-2013-145583,95661,OFF-SU-10001218,Fiskars Softgrip Scissors,West,139,1,Consumer,20-10-2013,Standard Class,California,Supplies,01-10-2013,0,18.4464,6,65.88,2013
Furniture,Roseville,United States,LC-16885,Lena Creighton,0.00,14-10-2013,CA-2013-145583,95661,FUR-FU-10001706,Longer-Life Soft White Bulbs,West,140,1,Consumer,20-10-2013,Standard Class,California,Furnishings,01-10-2013,0,20.6976,14,43.12,2013
Office Supplies,San Francisco,United States,SH-19975,Sally Hughsby,0.00,19-09-2014,CA-2014-106180,94122,OFF-AR-10000940,Newell 343,West,142,1,Corporate,24-09-2014,Standard Class,California,Art,01-09-2014,0,2.3814,3,8.82,2014
Office Supplies,San Francisco,United States,SH-19975,Sally Hughsby,0.00,19-09-2014,CA-2014-106180,94122,OFF-EN-10004030,Convenience Packs of Business Envelopes,West,143,1,Corporate,24-09-2014,Standard Class,California,Envelopes,01-09-2014,0,5.1042,3,10.86,2014
Office Supplies,San Francisco,United States,SH-19975,Sally Hughsby,0.00,19-09-2014,CA-2014-106180,94122,OFF-PA-10004327,Xerox 1911,West,144,1,Corporate,24-09-2014,Standard Class,California,Paper,01-09-2014,0,68.976,3,143.7,2014
Office Supplies,Pasadena,United States,HA-14920,Helen Andreada,0.00,07-09-2012,CA-2012-110744,91104,OFF-ST-10003656,Safco Industrial Wire Shelving,West,146,1,Consumer,12-09-2012,Standard Class,California,Storage,01-09-2012,0,20.1579,7,671.93,2012
Office Supplies,Scottsdale,United States,TW-21025,Tamara Willingham,0.20,14-03-2013,CA-2013-158834,85254,OFF-AP-10000326,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,West,152,1,Home Office,17-03-2013,First Class,Arizona,Appliances,01-03-2013,0.2,17.766,5,157.92,2013
Technology,Scottsdale,United States,TW-21025,Tamara Willingham,0.20,14-03-2013,CA-2013-158834,85254,TEC-PH-10001254,Jabra BIZ 2300 Duo QD Duo Corded Headset,West,153,1,Home Office,17-03-2013,First Class,Arizona,Phones,01-03-2013,0.2,15.2388,2,203.184,2013
Office Supplies,San Jose,United States,SP-20650,Stephanie Phelps,0.00,31-05-2012,CA-2012-124919,95123,OFF-PA-10001950,Southworth 25% Cotton Antique Laid Paper & Envelopes,West,154,1,Corporate,02-06-2012,First Class,California,Paper,01-05-2012,0,26.271,7,58.38,2012
Office Supplies,San Jose,United States,SP-20650,Stephanie Phelps,0.00,31-05-2012,CA-2012-124919,95123,OFF-PA-10002254,Xerox 1883,West,155,1,Corporate,02-06-2012,First Class,California,Paper,01-05-2012,0,48.5392,4,105.52,2012
Office Supplies,San Jose,United States,SP-20650,Stephanie Phelps,0.00,31-05-2012,CA-2012-124919,95123,OFF-ST-10001590,"Tenex Personal Project File with Scoop Front Design, Black",West,156,1,Corporate,02-06-2012,First Class,California,Storage,01-05-2012,0,21.0288,6,80.88,2012
Office Supplies,Seattle,United States,NK-18490,Neil Knudson,0.00,28-05-2012,CA-2012-118948,98105,OFF-AR-10001547,Newell 311,West,157,1,Home Office,03-06-2012,Standard Class,Washington,Art,01-05-2012,0,1.7901,3,6.63,2012
Furniture,Seattle,United States,DB-13060,Dave Brooks,0.20,01-03-2011,CA-2011-104269,98115,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,West,158,1,Consumer,06-03-2011,Second Class,Washington,Chairs,01-03-2011,0.2,51.4764,2,457.568,2011
Office Supplies,Los Angeles,United States,TT-21070,Ted Trevino,0.00,12-05-2013,CA-2013-162733,90045,OFF-PA-10002751,Xerox 1920,West,161,1,Consumer,13-05-2013,First Class,California,Paper,01-05-2013,0,2.691,1,5.98,2013
Office Supplies,Carlsbad,United States,RD-19900,Ruben Dartt,0.00,17-11-2013,CA-2013-154508,88220,OFF-EN-10001990,Staples,West,163,1,Consumer,21-11-2013,Standard Class,New Mexico,Envelopes,01-11-2013,0,13.348,5,28.4,2013
Office Supplies,Seattle,United States,MJ-17740,Max Jones,0.20,08-11-2013,CA-2013-113817,98115,OFF-BI-10004002,Wilson Jones International Size A4 Ring Binders,West,164,1,Consumer,12-11-2013,Standard Class,Washington,Binders,01-11-2013,0.2,9.688,2,27.68,2013
Office Supplies,Los Angeles,United States,CS-12130,Chad Sievert,0.00,05-08-2011,CA-2011-118962,90004,OFF-PA-10000659,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6 x 11",West,172,1,Consumer,09-08-2011,Standard Class,California,Paper,01-08-2011,0,9.8418,3,20.94,2011
Office Supplies,Los Angeles,United States,CS-12130,Chad Sievert,0.00,05-08-2011,CA-2011-118962,90004,OFF-PA-10001144,Xerox 1913,West,173,1,Consumer,09-08-2011,Standard Class,California,Paper,01-08-2011,0,53.2608,2,110.96,2011
Furniture,Los Angeles,United States,CS-12130,Chad Sievert,0.20,05-08-2011,CA-2011-118962,90004,FUR-CH-10003817,"Global Value Steno Chair, Gray",West,174,1,Consumer,09-08-2011,Standard Class,California,Chairs,01-08-2011,0.2,21.259,7,340.144,2011
Technology,Los Angeles,United States,FM-14290,Frank Merwin,0.00,26-08-2011,CA-2011-123260,90032,TEC-AC-10002323,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,West,187,1,Home Office,30-08-2011,Standard Class,California,Accessories,01-08-2011,0,22.984,8,176.8,2011
Office Supplies,Redlands,United States,MZ-17515,Mary Zewe,0.00,31-10-2012,CA-2012-131457,92374,OFF-EN-10001509,Poly String Tie Envelopes,West,195,1,Corporate,06-11-2012,Standard Class,California,Envelopes,01-10-2012,0,6.7116,7,14.28,2012
Furniture,Denver,United States,BS-11755,Bruce Stewart,0.50,03-08-2011,CA-2011-133690,80219,FUR-TA-10004289,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,West,202,1,Consumer,05-08-2011,First Class,Colorado,Tables,01-08-2011,0.5,-161.875,2,218.75,2011
Office Supplies,Denver,United States,BS-11755,Bruce Stewart,0.20,03-08-2011,CA-2011-133690,80219,OFF-AP-10003622,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",West,203,1,Consumer,05-08-2011,First Class,Colorado,Appliances,01-08-2011,0.2,0.2925,1,2.6,2011
Technology,Whittier,United States,LE-16810,Laurel Elliston,0.20,10-12-2014,CA-2014-108329,90604,TEC-PH-10001918,Nortel Business Series Terminal T7208 Digital phone,West,206,1,Consumer,15-12-2014,Standard Class,California,Phones,01-12-2014,0.2,44.4768,4,444.768,2014
Office Supplies,Los Angeles,United States,JH-15910,Jonathan Howell,0.00,29-10-2013,CA-2013-130162,90032,OFF-ST-10001328,"Personal Filing Tote with Lid, Black/Gray",West,218,1,Consumer,02-11-2013,Standard Class,California,Storage,01-10-2013,0,26.0568,6,93.06,2013
Technology,Los Angeles,United States,JH-15910,Jonathan Howell,0.20,29-10-2013,CA-2013-130162,90032,TEC-PH-10002563,Adtran 1202752G1,West,219,1,Consumer,02-11-2013,Standard Class,California,Phones,01-10-2013,0.2,22.6782,3,302.376,2013
Office Supplies,Santa Clara,United States,DB-13120,David Bremer,0.00,13-11-2014,CA-2014-160514,95051,OFF-PA-10002479,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),West,237,1,Corporate,17-11-2014,Standard Class,California,Paper,01-11-2014,0,4.752,2,10.56,2014
Furniture,San Francisco,United States,LH-17155,Logan Haushalter,0.20,11-12-2013,CA-2013-154739,94109,FUR-CH-10002965,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",West,250,1,Consumer,16-12-2013,Second Class,California,Chairs,01-12-2013,0.2,28.1372,2,321.568,2013
Office Supplies,San Diego,United States,KC-16540,Kelly Collister,0.00,12-09-2013,CA-2013-145625,92037,OFF-PA-10004569,"Wirebound Message Books, Two 4 1/4"" x 5"" Forms per Page",West,251,1,Consumer,18-09-2013,Standard Class,California,Paper,01-09-2013,0,3.5767,1,7.61,2013
Technology,San Diego,United States,KC-16540,Kelly Collister,0.00,12-09-2013,CA-2013-145625,92037,TEC-AC-10003832,Logitech P710e Mobile Speakerphone,West,252,1,Consumer,18-09-2013,Standard Class,California,Accessories,01-09-2013,0,636.0003,13,3347.37,2013
Technology,Brentwood,United States,AH-10210,Alan Hwang,0.00,10-11-2012,CA-2012-155040,94513,TEC-AC-10004469,Microsoft Sculpt Comfort Mouse,West,266,1,Consumer,15-11-2012,Standard Class,California,Accessories,01-11-2012,0,35.156,2,79.9,2012
Office Supplies,San Francisco,United States,KH-16690,Kristen Hastings,0.00,29-12-2014,CA-2014-163979,94110,OFF-ST-10003208,Adjustable Depth Letter/Legal Cart,West,271,1,Corporate,03-01-2015,Second Class,California,Storage,01-12-2014,0,210.4936,4,725.84,2014
Technology,San Francisco,United States,HA-14920,Helen Andreada,0.00,30-07-2012,CA-2012-155334,94109,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,West,272,1,Consumer,31-07-2012,First Class,California,Accessories,01-07-2012,0,92.3692,7,209.93,2012
Furniture,San Francisco,United States,HA-14920,Helen Andreada,0.00,30-07-2012,CA-2012-155334,94109,FUR-FU-10003274,Regeneration Desk Collection,West,273,1,Consumer,31-07-2012,First Class,California,Furnishings,01-07-2012,0,2.3232,3,5.28,2012
Office Supplies,San Francisco,United States,HA-14920,Helen Andreada,0.20,30-07-2012,CA-2012-155334,94109,OFF-BI-10002557,Presstex Flexible Ring Binders,West,274,1,Consumer,31-07-2012,First Class,California,Binders,01-07-2012,0.2,4.095,3,10.92,2012
Office Supplies,Inglewood,United States,BB-10990,Barry Blumstein,0.00,17-09-2014,CA-2014-118136,90301,OFF-PA-10002615,"Ampad Gold Fibre Wirebound Steno Books, 6"" x 9"", Gregg Ruled",West,275,1,Corporate,18-09-2014,First Class,California,Paper,01-09-2014,0,4.0572,2,8.82,2014
Office Supplies,Inglewood,United States,BB-10990,Barry Blumstein,0.00,17-09-2014,CA-2014-118136,90301,OFF-AR-10001427,Newell 330,West,276,1,Corporate,18-09-2014,First Class,California,Art,01-09-2014,0,1.5548,1,5.98,2014
Furniture,Los Angeles,United States,JO-15280,Jas O'Carroll,0.20,02-11-2012,CA-2012-130890,90004,FUR-TA-10002903,"Bevis Round Bullnose 29"" High Table Top",West,283,1,Consumer,06-11-2012,Standard Class,California,Tables,01-11-2012,0.2,51.942,5,1038.84,2012
Office Supplies,Portland,United States,TB-21520,Tracy Blumstein,0.20,26-09-2012,CA-2012-130883,97206,OFF-PA-10000474,Staples,West,284,1,Consumer,02-10-2012,Standard Class,Oregon,Paper,01-09-2012,0.2,47.844,5,141.76,2012
Technology,Portland,United States,TB-21520,Tracy Blumstein,0.20,26-09-2012,CA-2012-130883,97206,TEC-AC-10001956,Microsoft Arc Touch Mouse,West,285,1,Consumer,02-10-2012,Standard Class,Oregon,Accessories,01-09-2012,0.2,47.96,5,239.8,2012
Office Supplies,Portland,United States,TB-21520,Tracy Blumstein,0.20,26-09-2012,CA-2012-130883,97206,OFF-PA-10004100,Xerox 216,West,286,1,Consumer,02-10-2012,Standard Class,Oregon,Paper,01-09-2012,0.2,10.8864,6,31.104,2012
Furniture,Colorado Springs,United States,KL-16555,Kelly Lampkin,0.20,26-12-2011,CA-2011-111451,80906,FUR-FU-10004091,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",West,294,1,Corporate,28-12-2011,First Class,Colorado,Furnishings,01-12-2011,0.2,78.8592,8,300.416,2011
Furniture,Colorado Springs,United States,KL-16555,Kelly Lampkin,0.20,26-12-2011,CA-2011-111451,80906,FUR-CH-10001891,Global Deluxe Office Fabric Chairs,West,295,1,Corporate,28-12-2011,First Class,Colorado,Chairs,01-12-2011,0.2,20.1558,3,230.352,2011
Furniture,Colorado Springs,United States,KL-16555,Kelly Lampkin,0.20,26-12-2011,CA-2011-111451,80906,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,West,296,1,Corporate,28-12-2011,First Class,Colorado,Furnishings,01-12-2011,0.2,-24.5646,3,218.352,2011
Office Supplies,Colorado Springs,United States,KL-16555,Kelly Lampkin,0.65,26-12-2011,CA-2011-111451,80906,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,West,297,1,Corporate,28-12-2011,First Class,Colorado,Binders,01-12-2011,0.7,-62.88,5,78.6,2011
Office Supplies,Colorado Springs,United States,KL-16555,Kelly Lampkin,0.20,26-12-2011,CA-2011-111451,80906,OFF-FA-10004854,"Vinyl Coated Wire Paper Clips in Organizer Box, 800/Box",West,298,1,Corporate,28-12-2011,First Class,Colorado,Fasteners,01-12-2011,0.2,9.2988,3,27.552,2011
Furniture,Arvada,United States,BP-11185,Ben Peterman,0.20,13-09-2013,CA-2013-142902,80004,FUR-FU-10001918,C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,West,310,1,Corporate,15-09-2013,Second Class,Colorado,Furnishings,01-09-2013,0.2,3.5948,4,15.136,2013
Furniture,Arvada,United States,BP-11185,Ben Peterman,0.20,13-09-2013,CA-2013-142902,80004,FUR-CH-10004086,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,West,311,1,Corporate,15-09-2013,Second Class,Colorado,Chairs,01-09-2013,0.2,52.5114,2,466.768,2013
Furniture,Arvada,United States,BP-11185,Ben Peterman,0.20,13-09-2013,CA-2013-142902,80004,FUR-FU-10001756,"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",West,312,1,Corporate,15-09-2013,Second Class,Colorado,Furnishings,01-09-2013,0.2,1.7136,1,15.232,2013
Office Supplies,Arvada,United States,BP-11185,Ben Peterman,0.20,13-09-2013,CA-2013-142902,80004,OFF-LA-10000634,Avery 509,West,313,1,Corporate,15-09-2013,Second Class,Colorado,Labels,01-09-2013,0.2,2.0358,3,6.264,2013
Office Supplies,Long Beach,United States,FA-14230,Frank Atkinson,0.00,19-09-2011,CA-2011-156601,90805,OFF-FA-10000624,OIC Binder Clips,West,323,1,Corporate,24-09-2011,Standard Class,California,Fasteners,01-09-2011,0,3.58,2,7.16,2011
Office Supplies,Hesperia,United States,GK-14620,Grace Kelly,0.20,24-04-2013,CA-2013-162138,92345,OFF-BI-10004593,Ibico Laser Imprintable Binding System Covers,West,324,1,Corporate,28-04-2013,Standard Class,California,Binders,01-04-2013,0.2,81.744,6,251.52,2013
Technology,Hesperia,United States,GK-14620,Grace Kelly,0.00,24-04-2013,CA-2013-162138,92345,TEC-AC-10001908,Logitech Wireless Headset h800,West,325,1,Corporate,28-04-2013,Standard Class,California,Accessories,01-04-2013,0,34.9965,1,99.99,2013
Office Supplies,Los Angeles,United States,DB-13615,Doug Bickford,0.20,01-09-2012,CA-2012-137946,90045,OFF-BI-10001922,Storex Dura Pro Binders,West,335,1,Consumer,04-09-2012,Second Class,California,Binders,01-09-2012,0.2,1.6038,1,4.752,2012
Technology,Los Angeles,United States,DB-13615,Doug Bickford,0.20,01-09-2012,CA-2012-137946,90045,TEC-CO-10001449,Hewlett Packard LaserJet 3310 Copier,West,336,1,Consumer,04-09-2012,Second Class,California,Copiers,01-09-2012,0.2,335.9944,2,959.984,2012
Office Supplies,Los Angeles,United States,DB-13615,Doug Bickford,0.20,01-09-2012,CA-2012-137946,90045,OFF-BI-10004140,Avery Non-Stick Binders,West,337,1,Consumer,04-09-2012,Second Class,California,Binders,01-09-2012,0.2,4.49,4,14.368,2012
